id,timestamp,seq_number,data,timestamp_received,time_delay
242,2017-10-30 12:53:46,170,x,2017-10-30 12:57:21,00:03:35
243,2017-10-30 12:53:47,171,x,2017-10-30 12:57:21,00:03:34
244,2017-10-30 12:53:49,172,x,2017-10-30 12:57:21,00:03:32
245,2017-10-30 12:53:50,173,x,2017-10-30 12:57:21,00:03:31
246,2017-10-30 12:53:51,174,x,2017-10-30 12:57:21,00:03:30
247,2017-10-30 12:53:46,170,x,2017-10-30 12:57:23,00:03:37
248,2017-10-30 12:53:47,171,x,2017-10-30 12:57:25,00:03:38
249,2017-10-30 12:53:49,172,x,2017-10-30 12:57:25,00:03:36
250,2017-10-30 12:53:50,173,x,2017-10-30 12:57:27,00:03:37
251,2017-10-30 12:53:51,174,x,2017-10-30 12:57:28,00:03:37
252,2017-10-30 12:53:52,175,x,2017-10-30 12:57:30,00:03:38
253,2017-10-30 12:53:54,176,x,2017-10-30 12:57:30,00:03:36
254,2017-10-30 12:53:56,177,x,2017-10-30 12:57:30,00:03:34
255,2017-10-30 12:54:00,178,x,2017-10-30 12:57:30,00:03:30
256,2017-10-30 12:54:02,179,x,2017-10-30 12:57:30,00:03:28
257,2017-10-30 12:53:52,175,x,2017-10-30 12:57:32,00:03:40
258,2017-10-30 12:53:54,176,x,2017-10-30 12:57:34,00:03:40
259,2017-10-30 12:53:56,177,x,2017-10-30 12:57:35,00:03:39
260,2017-10-30 12:54:00,178,x,2017-10-30 12:57:35,00:03:35
261,2017-10-30 12:54:02,179,x,2017-10-30 12:57:35,00:03:33
262,2017-10-30 12:53:52,175,x,2017-10-30 12:57:38,00:03:46
263,2017-10-30 12:53:54,176,x,2017-10-30 12:57:40,00:03:46
264,2017-10-30 12:53:56,177,x,2017-10-30 12:57:40,00:03:44
265,2017-10-30 12:54:00,178,x,2017-10-30 12:57:40,00:03:40
266,2017-10-30 12:54:02,179,x,2017-10-30 12:57:40,00:03:38
267,2017-10-30 12:54:04,180,x,2017-10-30 12:57:51,00:03:47
268,2017-10-30 12:54:06,181,x,2017-10-30 12:57:51,00:03:45
269,2017-10-30 12:54:07,182,x,2017-10-30 12:57:51,00:03:44
270,2017-10-30 12:54:09,183,x,2017-10-30 12:57:51,00:03:42
271,2017-10-30 12:54:10,184,x,2017-10-30 12:57:51,00:03:41
272,2017-10-30 12:54:15,185,x,2017-10-30 12:57:53,00:03:38
273,2017-10-30 12:54:16,186,x,2017-10-30 12:57:54,00:03:38
274,2017-10-30 12:54:17,187,x,2017-10-30 12:57:55,00:03:38
275,2017-10-30 12:54:18,188,x,2017-10-30 12:57:56,00:03:38
276,2017-10-30 12:54:19,189,x,2017-10-30 12:57:56,00:03:37
277,2017-10-30 12:54:15,185,x,2017-10-30 12:57:58,00:03:43
278,2017-10-30 12:54:16,186,x,2017-10-30 12:58:00,00:03:44
279,2017-10-30 12:54:17,187,x,2017-10-30 12:58:00,00:03:43
280,2017-10-30 12:54:18,188,x,2017-10-30 12:58:00,00:03:42
281,2017-10-30 12:54:19,189,x,2017-10-30 12:58:00,00:03:41
282,2017-10-30 12:54:20,190,x,2017-10-30 12:58:02,00:03:42
283,2017-10-30 12:54:21,191,x,2017-10-30 12:58:03,00:03:42
284,2017-10-30 12:54:22,192,x,2017-10-30 12:58:03,00:03:41
285,2017-10-30 12:54:23,193,x,2017-10-30 12:58:03,00:03:40
286,2017-10-30 12:54:24,194,x,2017-10-30 12:58:03,00:03:39
287,2017-10-30 12:54:20,190,x,2017-10-30 12:58:06,00:03:46
288,2017-10-30 12:54:21,191,x,2017-10-30 12:58:07,00:03:46
289,2017-10-30 12:54:22,192,x,2017-10-30 12:58:07,00:03:45
290,2017-10-30 12:54:23,193,x,2017-10-30 12:58:08,00:03:45
291,2017-10-30 12:54:24,194,x,2017-10-30 12:58:09,00:03:45
292,2017-10-30 12:54:20,190,x,2017-10-30 12:58:11,00:03:51
293,2017-10-30 12:54:21,191,x,2017-10-30 12:58:16,00:03:55
294,2017-10-30 12:54:22,192,x,2017-10-30 12:58:18,00:03:56
295,2017-10-30 12:54:23,193,x,2017-10-30 12:58:18,00:03:55
296,2017-10-30 12:54:24,194,x,2017-10-30 12:58:18,00:03:54
297,2017-10-30 12:54:26,195,x,2017-10-30 12:58:20,00:03:54
298,2017-10-30 12:54:27,196,x,2017-10-30 12:58:20,00:03:53
299,2017-10-30 12:54:29,197,x,2017-10-30 12:58:20,00:03:51
300,2017-10-30 12:54:31,198,x,2017-10-30 12:58:20,00:03:49
301,2017-10-30 12:54:35,199,x,2017-10-30 12:58:20,00:03:45
302,2017-10-30 12:54:26,195,x,2017-10-30 12:58:22,00:03:56
303,2017-10-30 12:54:27,196,x,2017-10-30 12:58:23,00:03:56
304,2017-10-30 12:54:29,197,x,2017-10-30 12:58:23,00:03:54
305,2017-10-30 12:54:31,198,x,2017-10-30 12:58:23,00:03:52
306,2017-10-30 12:54:35,199,x,2017-10-30 12:58:23,00:03:48
307,2017-10-30 12:54:26,195,x,2017-10-30 12:58:25,00:03:59
308,2017-10-30 12:54:27,196,x,2017-10-30 12:58:28,00:04:01
309,2017-10-30 12:54:29,197,x,2017-10-30 12:58:31,00:04:02
310,2017-10-30 12:54:31,198,x,2017-10-30 12:58:32,00:04:01
311,2017-10-30 12:54:35,199,x,2017-10-30 12:58:33,00:03:58
312,2017-10-30 12:54:38,200,x,2017-10-30 12:58:44,00:04:06
313,2017-10-30 12:54:41,201,x,2017-10-30 12:58:44,00:04:03
314,2017-10-30 12:54:42,202,x,2017-10-30 12:58:44,00:04:02
315,2017-10-30 12:54:45,203,x,2017-10-30 12:58:44,00:03:59
316,2017-10-30 12:54:48,204,x,2017-10-30 12:58:44,00:03:56
317,2017-10-30 12:54:51,205,x,2017-10-30 12:58:47,00:03:56
318,2017-10-30 12:54:54,206,x,2017-10-30 12:58:47,00:03:53
319,2017-10-30 12:54:55,207,x,2017-10-30 12:58:47,00:03:52
320,2017-10-30 12:54:58,208,x,2017-10-30 12:58:47,00:03:49
321,2017-10-30 12:54:59,209,x,2017-10-30 12:58:47,00:03:48
